Evans C.B.R,Rose R.A.
Lippman S.A,Neilands T.B
Lippman S.A,Leslie H.H
Lippman S.A,Maman S
Lippman S.A,MacPhail C
Lippman S.A,Twine R
Lippman S.A,Peacock D
Lippman S.A,Kahn K
Lippman S.A,Pettifor A.
Neilands T.B,Leslie H.H
Neilands T.B,Maman S
Neilands T.B,MacPhail C
Neilands T.B,Twine R
Neilands T.B,Peacock D
Neilands T.B,Kahn K
Neilands T.B,Pettifor A.
Leslie H.H,Maman S
Leslie H.H,MacPhail C
Leslie H.H,Twine R
Leslie H.H,Peacock D
Leslie H.H,Kahn K
Leslie H.H,Pettifor A.
Maman S,MacPhail C
Maman S,Twine R
Maman S,Peacock D
Maman S,Kahn K
Maman S,Pettifor A.
MacPhail C,Twine R
MacPhail C,Peacock D
MacPhail C,Kahn K
MacPhail C,Pettifor A.
Twine R,Peacock D
Twine R,Kahn K
Twine R,Pettifor A.
Peacock D,Kahn K
Peacock D,Pettifor A.
Kahn K,Pettifor A.
Osman I,Maryam Jameelah M.H
Osman I,Noordin F
Osman I,Daud N.
Maryam Jameelah M.H,Noordin F
Maryam Jameelah M.H,Daud N.
Noordin F,Daud N.
Nikolaev B,Salahodjaev R.
Yotsui M,Campbell C
Yotsui M,Honma T.
Campbell C,Honma T.
Misāne A,Niklass M.
Condon M,Lavery L
Condon M,Engle P.J.
Lavery L,Engle P.J.
Ahmad S,Mustafa M
Ahmad S,Ullah A.
Mustafa M,Ullah A.
Cao J.X,Ding Y
Cao J.X,Zhang H.
Ding Y,Zhang H.
Fitz B.M,Lyon L
Fitz B.M,Driskell R.
Lyon L,Driskell R.
Saleh A,Metalisa R
Saleh A,Mukhlishah N.
Metalisa R,Mukhlishah N.
Lindström M,Giordano G.N.
Croom C,Gross B
Croom C,Rosen L.D
Croom C,Rosen B.
Gross B,Rosen L.D
Gross B,Rosen B.
Rosen L.D,Rosen B.
Jiang Z,Hu X.
Gyan C,Ampomah A.O.
Lamu A.N,Olsen J.A.
Xia Y,Zhang L
Xia Y,Zhao N.
Zhang L,Zhao N.
Choy J,McCormack D
Choy J,Djurkovic N.
McCormack D,Djurkovic N.
Tsuboya T,Tsutsumi A
Tsuboya T,Kawachi I.
Tsutsumi A,Kawachi I.
Kwahk K.-Y,Park D.-H.
Alary V,Messad S
Alary V,Daoud I
Alary V,Aboul-Naga A
Alary V,Osman M.A
Alary V,Bonnet P
Alary V,Tourrand J.-F.
Messad S,Daoud I
Messad S,Aboul-Naga A
Messad S,Osman M.A
Messad S,Bonnet P
Messad S,Tourrand J.-F.
Daoud I,Aboul-Naga A
Daoud I,Osman M.A
Daoud I,Bonnet P
Daoud I,Tourrand J.-F.
Aboul-Naga A,Osman M.A
Aboul-Naga A,Bonnet P
Aboul-Naga A,Tourrand J.-F.
Osman M.A,Bonnet P
Osman M.A,Tourrand J.-F.
Bonnet P,Tourrand J.-F.
Koopmans R,Schaeffer M.
Lönnqvist J.-E,Große Deters F.
Putra I.N.D,Creese H.
Ismail R,Mahfodz N.D
Ismail R,Sulaiman N.
Mahfodz N.D,Sulaiman N.
MacLean P,Bridgemohan A
MacLean P,Meinhard A.
Bridgemohan A,Meinhard A.
Ruef M,Kwon S.-W.
Puntscher S,Hauser C
Puntscher S,Walde J
Puntscher S,Tappeiner G.
Hauser C,Walde J
Hauser C,Tappeiner G.
Walde J,Tappeiner G.
Piwek L,Joinson A.
Hendriks M,Ludwigs K
Hendriks M,Veenhoven R.
Ludwigs K,Veenhoven R.
González E.S.U,Antúnez J.V.V.
Ilovan O.-R,Jordan P
Ilovan O.-R,Kinga-Xénia H.-N
Ilovan O.-R,Zametter T.
Jordan P,Kinga-Xénia H.-N
Jordan P,Zametter T.
Kinga-Xénia H.-N,Zametter T.
Cheung C.-K,Ngai S.S.-Y.
Rafique Z,Khoo S.L
Rafique Z,Idrees M.W.
Khoo S.L,Idrees M.W.
Burmeister O.K,Marks E.
Emerson E,Llewellyn G
Emerson E,Hatton C
Emerson E,Hindmarsh G
Emerson E,Robertson J
Emerson E,Man W.Y.N
Emerson E,Baines S.
Llewellyn G,Hatton C
Llewellyn G,Hindmarsh G
Llewellyn G,Robertson J
Llewellyn G,Man W.Y.N
Llewellyn G,Baines S.
Hatton C,Hindmarsh G
Hatton C,Robertson J
Hatton C,Man W.Y.N
Hatton C,Baines S.
Hindmarsh G,Robertson J
Hindmarsh G,Man W.Y.N
Hindmarsh G,Baines S.
Robertson J,Man W.Y.N
Robertson J,Baines S.
Man W.Y.N,Baines S.
